Year,Word,Weight
1966,girl,0.11875302414941086
1966,bop,0.13506896482124522
1966,oh,0.13547880219862365
1966,know,0.14551426902815134
1966,writer,0.1490663792739636
1966,youre,0.15053200244291517
1966,good,0.15387715805275773
1966,coal,0.15650404615213434
1966,just,0.16725778049212797
1966,submarine,0.173983297145809
1966,barefootin,0.1922939395390855
1966,im,0.19234644756594718
1966,dont,0.20238191439547484
1966,baby,0.21910769244468764
1966,love,0.2659398709824835
1967,really,0.03137955126161557
1967,western,0.031540552268155934
1967,union,0.031540552268155934
1967,everlasting,0.03204917137728635
1967,te,0.03233461866697469
1967,ta,0.03233461866697469
1967,loving,0.03282430694116442
1967,comes,0.03294852882469635
1967,evrything,0.033245487646455796
1967,yeahspotlight,0.03340428964793822
1967,paperdoll,0.03340428964793822
1967,dit,0.033559953332258335
